"disk_id"	"mdisk"	"rdisk"	"rin"	"rstar"	"mstar"	"tstar"	"rout"
1	0.01122	91.201084	0.118304	1.889358	0.4677	4059	150
2	0.010233	194.98446	0.256448	2.299906	2.29	9375	250
3	0.010715	67.608298	0.053703	1.933248	0.4897	4059	100
4	0.020417	123.026877	0.11885	1.949012	0.48977	4059	150
5	0.006918	97.723722	0.144212	2.316531	1.047	4730	150
6	0.097724	79.432823	0.060256	1.597117	0.36	3632	100
7	0.079433	173.780083	0.284446	2.73283	0.4365	4205	250
8	0.041687	147.910839	0.140929	1.739054	0.5248	4059	200
9	0.02884	97.723722	0.075858	1.99397	0.295	3850	150
10	0.02138	134.896288	0.177419	2.372314	0.457	4350	200
