"disk_id"	"mdisk"	"rdisk"	"rin"	"rstar"	"mstar"	"tstar"	"rout"
1	0.01122	91.201084	0.118304	1.889358	0.4677	4059	91.201084
2	0.010233	194.98446	0.256448	2.299906	2.29	9375	194.98446
3	0.010715	67.608298	0.053703	1.933248	0.4897	4059	67.608298
4	0.000741	15.848932	0.118304	1.682161	0.11	2880	15.848932
5	0.008318	40.738028	0.097724	1.263446	0.1349	3057	40.738028
6	0.001445	25.118864	0.097724	1.187144	0.1445	3161	25.118864
7	0.001862	37.153523	0.047863	1.32627	0.1737	3342	37.153523
8	0.00871	51.286138	0.066069	0.654115	0.61	3990	51.286138
9	0.000447	13.182567	0.072444	0.883722	0.21877	3269	13.182567
10	0.007586	15.488166	0.064565	1.677603	0.1548	3124	15.488166
11	0.020417	123.026877	0.11885	1.949012	0.48977	4059	123.026877
12	0.006918	97.723722	0.144212	2.316531	1.047	4730	97.723722
13	0.004898	30.902954	0.215278	1.668201	0.2187	3487	30.902954
14	0.097724	79.432823	0.060256	1.597117	0.36	3632	79.432823
15	0.013804	54.954087	0.079433	2.46647	0.295	3705	54.954087
16	0.079433	173.780083	0.284446	2.73283	0.4365	4205	173.780083
17	0.005129	50.118723	0.042658	1.795022	0.275	3705	50.118723
18	0.041687	147.910839	0.140929	1.739054	0.5248	4059	147.910839
19	0.021878	102.329299	2.18273	1.153544	0.4897	3705	102.329299
20	0.02884	97.723722	0.075858	1.99397	0.295	3850	97.723722
21	0.028184	112.201845	0.151356	2.652814	0.316	3850	112.201845
22	0.02138	134.896288	0.177419	2.372314	0.457	4350	134.896288
23	0.00912	66.069345	0.048978	1.535232	0.724	4350	66.069345
24	0.004266	39.810717	0.085114	1.429655	0.4677	3850	39.810717
25	0.007413	30.199517	0.251189	3.106204	0.12	3124	30.199517
26	0.069183	43.651583	0.054954	1.773456	0.1819	3269	43.651583
27	0.000933	12.022644	0.079433	1.155988	0.134	3091	12.022644
28	0.046774	93.32543	0.114815	1.749277	0.263	3777	93.32543
29	0.000447	9.862795	0.048978	2.125234	0.093	2837	9.862795
30	0.000692	12.302688	0.02138	0.552089	0.017	2350	12.302688
31	0.002692	44.668359	0.072444	2.231896	0.616	4350	44.668359
32	0.004677	51.286138	0.064565	2.521894	0.316	3850	51.286138
33	0.002884	41.686938	0.157761	2.117457	0.36	4059	41.686938
34	0.000372	25.703958	0.083176	2.345927	0.37	4059	25.703958
35	0.060256	91.201084	0.169434	1.653529	1.07	4730	91.201084
36	0.000339	14.125375	0.018197	0.682702	0.123	2934	14.125375
37	0.015849	67.608298	0.091201	1.20152	0.537	3850	67.608298
38	0.048978	107.151931	0.11246	1.871643	0.295	3850	107.151931
39	0.031623	89.125094	0.06166	1.341451	0.426	3705	89.125094
40	0.005623	44.668359	0.054954	1.555459	0.4265	3777	44.668359
41	0.00182	42.657952	0.101391	1.142021	0.8128	4350	42.657952
42	0.00955	48.977882	0.02884	0.84209	0.6165	3777	48.977882
43	0.012023	79.432823	0.126474	2.084157	1.023	4730	79.432823
44	9.1E-05	18.197009	0.430527	2.740063	1.4125	4900	18.197009
45	0.001698	34.673685	0.043652	1.535419	0.457	3850	34.673685
46	0.012023	100	0.105196	2.107937	0.295	3777	100
47	0.000813	28.183829	0.075858	1.014441	0.6	3850	28.183829
48	0.002455	39.810717	9.078205	1.392496	0.407	3668	39.810717
49	3.4E-05	14.125375	0.277332	2.67751	0.3235	3850	14.125375
50	0.027542	75.857758	0.072444	1.508607	0.407	3705	75.857758
51	0.047863	72.443596	0.045709	0.615531	0.389	3560	72.443596
52	0.009772	74.131024	0.064565	1.078584	0.5248	3777	74.131024
53	0.000204	18.620871	0.148936	3.054599	0.117	3091	18.620871
54	4.8E-05	15.135612	0.222331	2.850091	0.33	3777	15.135612
55	0.028184	75.857758	0.141254	2.212375	0.2818	3777	75.857758
56	0.005888	57.543994	0.083176	1.377874	0.4786	3850	57.543994
57	0.00257	28.840315	0.12106	1.036166	0.09	2837	28.840315
58	0.012882	69.183097	0.051286	1.351289	0.309	3487	69.183097
59	0.00182	23.442288	0.020893	0.297623	0.15	3197	23.442288
60	0.000741	20.417379	0.087096	2.430694	0.13	3124	20.417379
61	0.001445	19.952623	0.044668	0.781707	0.158	3057	19.952623
62	0.001047	15.135612	0.083176	1.491557	0.19	3342	15.135612
63	5.5E-05	7.345139	0.018621	0.508376	0.117	2963	7.345139
64	0.002291	31.622777	0.070795	1.727069	0.186	3305	31.622777
65	0.030903	38.01894	0.025704	1.009396	0.1288	3057	38.01894
66	0.000603	22.908677	0.033113	0.957202	0.1819	3161	22.908677
67	0.003981	14.125375	0.020893	0.837648	0.158	3057	14.125375
